Type,Distillery,Whiskeys
Single Malt,Cardhu,"['Cardhu 12 Year Old', 'Cardhu 12 Year Old 2 Glass Pack', 'Cardhu Gold Reserve Cask Selection', 'Cardhu Amber Rock', 'Cardhu Gold Reserve Gift Pack', 'Cardhu 15 Year Old', 'Cardhu 18 Year Old', 'Cardhu 12 Year Old Bot.1980s', 'Cardhu 12 Year Old Bot.1980s', 'Cardhu 12 Year Old Bot.1970s', 'Cardhu 1973 27 Year Old Rare Malts', 'Cardhu 1982 22 Year Old', 'Cardhu 1973 27 Year Old Rare Malts', 'Cardhu 12 Year Old Bot.1970s', 'Cardhu 12 Year Old Bot.1970s', 'Cardhu 12 Year Old Bot.1970s', 'Cardhu 8 Year Old Bot.1970s', 'Cardhu 8 Year Old Bot.1970s', 'Cardhu 8 Year Old Bot.1970s', ""Cardhu 15 Year Old Manager's Dram""]"
Single Malt,Clynelish ,"['Clynelish 14 Year Old Small Bottle', 'Clynelish 14 Year Old', 'Clynelish 1997 Distillers Edition Bot.2011', 'Clynelish 1996 21 Year Old Sherry Cask TWE Exclusive', 'Clynelish 1992 10 Year Old Tanners Wines', 'Clynelish 1996 21 Year Old Sherry Cask Carn Mor', 'Clynelish 1996 21 Year Old OMC 20th Anniversary Bottling', 'Clynelish 1995 21 Year Old Xtra Old Particular', 'Clynelish 1989 13 Year Old Adelphi', 'Clynelish 14 Year Old', 'Clynelish 1992 Bot.2004 Samaroli', 'Clynelish Select Reserve Special Releases 2014', 'Clynelish 1983 24 Year Old Old Malt Cask', 'Clynelish Select Reserve 2nd Edition Special Releases 2015', 'SMWS 26.2 1984 Bot.1995', 'Clynelish 12 Year Old Bot.1970s', 'Clynelish 1974 23 Year Old Rare Malts', 'Clynelish 1972 Bot.2016 Rare Old Gordon & Macphail', 'Clynelish 1970 31 Year Old Sherry Finish Old Malt Cask', 'Clynelish 1974 27 Year Old Signatory']"
Single Malt,Coleburn,"['Coleburn 1972 Rare Old Gordon & MacPhail', 'Coleburn 1979 21 Year Old Rare Malts', 'SMWS 56.6 1984 Bot.1994', ""Coleburn 13 Year Old Cadenhead's"", 'SMWS 56.5 1977 Bot.1993', 'SMWS 56.4 1977 Bot.1993', 'Coleburn 1971 28 Year Old Old Malt Cask', 'SMWS 56.2 1981 Bot.1990', 'Coleburn 1970 30 Year Old Signatory']"
Single Malt,Convalmore,"['Convalmore 1969 12 Year Old Connoisseurs Choice', 'Convalmore 1975 Bot.2015 Rare Old Gordon & MacPhail', 'Convalmore 1976 23 Year Old Silent Stills', 'Convalmore 1977 28 Year Old', 'Convalmore 1984 32 Year Old Special Releases 2017', 'Convalmore 1962 The Costumes Moon Import', 'Convalmore 1977 36 Year Old']"
Single Malt,Corriemhor,['Corriemhor Cigar Reserve Single Malt']
Single Malt,Cragganmore,"['Cragganmore 12 Year Old Small Bottle', 'Cragganmore 12 Year Old', 'Cragganmore 2003 Distillers Edition', 'Cragganmore 2005 Distillers Edition Bot.2017', 'Cragganmore 14 Year Old Friends of the Classic Malts', 'Cragganmore 25 Year Old Special Releases 2014', 'Cragganmore Special Releases 2016', 'Cragganmore 1985 33 Year Old Signatory 30th Anniversary', 'Cragganmore 1968 11 Year Old Connoisseurs Choice', ""Cragganmore 17 Year Old Manager's Dram"", 'Cragganmore 12 Year Old Bot.1980s', 'Secret Stills No: 2.1 (Cragganmore) 1966', 'Secret Stills No: 2.2 (Cragganmore) 1966 Gordon & MacPhail']"
Single Malt,Craigduff,['Craigduff 1973 45 Year Old Signatory 30th Anniversary']
Single Malt,Craigellachie,"['Craigellachie 2008 8 Year Old Provenance', 'Craigellachie 13 Year Old', 'Craigellachie 2008 9 Year Old Cask 900616 The Ultimate', 'Craigellachie 2007 10 Year Old Vintage Casks 5 Mossburn', 'Craigellachie 2006 11 Year Old Old Malt Cask', 'Craigellachie 1997 Bot.2014 Connoisseurs Choice', 'Craigellachie 23 Year Old']"
Single Malt,Croftengea,"['Croftengea 2005 13 Year Old Old Malt Cask', 'Croftengea 2005 13 Year Old OMC 20th Anniversary Bottling', 'Croftengea 2007 10 Year Old Jack Wiebers Fighting Fish']"
Single Malt,Dailuaine,"[""Dailuaine 2007 10 Year Old Hepburn's Choice"", 'Dailuaine 16 Year Old', 'Dailuaine 2006 12 Year Old OMC 20th Anniversary Bottling', 'Dailuaine 2007 10 Year Old Peated Cask DU718', 'Dailuaine 1997 20 Year Old Signatory', 'Dailuaine 1980 34 Year Old Special Releases 2015', 'SMWS 41.3 1975 Bot.1990']"
