Type,Distillery,Whiskeys
Single Malt,Talisker,"['Talisker 10 Year Old Small Bottle', 'Talisker Skye', 'Talisker 10 Year Old', 'Talisker Storm', 'Talisker Port Ruighe Port Finish', 'Talisker 2007 Distillers Edition', 'Talisker 2006 Distillers Edition', 'Talisker 57° North', 'Talisker 2009 7 Year Old Provenance', 'Talisker 18 Year Old', 'Talisker 2002 Distillers Edition', 'Talisker 2003 Distillers Edition', 'Talisker 25 Year Old Bot.2013', 'Talisker 25 Year Old Bot.2017', 'Talisker 12 Year Old Friends of Classic Malts', 'Talisker 30 Year Old Bot.2015', 'Talisker 25 Year Old Bot.2007', 'Talisker 25 Year Old Bot.2008', 'Talisker 30 Year Old Bot.2011', 'Talisker 1985 27 Year Old']"
Single Malt,Tamdhu,"[""Tamdhu 8 Year Old MacPhail's Collection"", 'Tamdhu 10 Year Old', 'Tamdhu 2007 11 Year Old Provenance', 'Tamdhu Batch Strength Batch No 3', 'Tamdhu 1999 18 Year Old Old Particular', 'Tamdhu 1998 20 Year Old First Editions', 'Tamdhu 1997 21 Year Old Carn Mor', 'Tamdhu 1988 Bot.2011 Cask #3729 Last Fetish', 'Tamdhu 8 Year Old Bot. 1970s', 'Tamdhu 8 Year Old Bot.1970s G&M', ""Tamdhu 1971 Macphail's Collection"", 'Tamdhu 16 Year Old Bot.1960s', 'Tamdhu 1960 Bot.2013 Private Collection']"
Single Malt,Tamnavulin,"['Tamnavulin Double Cask', 'Tamnavulin-Glenlivet 10 Year Old', 'Tamnavulin 1992 25 Year Old Single Malts of Scotland', 'Tamnavulin Glenlivet 8 Year Old Bot.1980s', ""Tamnavulin 24 Year Old Stillman's Dram"", ""Tamnavulin 1968 The Stillman's Dram"", 'Tamnavulin-Glenlivet 20 Year Old Sherry Cask']"
Single Malt,Teaninich,"['Teaninich 10 Year Old', 'Teaninich 2007 10 Year Old Vintage Casks #4 Mossburn', 'Teaninich 1999 19 Year Old OMC 20th Anniversary Bottling', 'Teaninich 1981 16 Year Old First Cask', 'Teaninich 1981 16 Year Old First Cask', 'Teaninich 1999 17 Year Old Special Releases 2017', 'SMWS 59.2 1980 Bot.1992 12 Year Old', 'Teaninich 1971 31 Year Old Adelphi', 'Teaninich 12 Year Old Reopening of Distillery 1991']"
Single Malt,Tobermory,"['Tobermory 10 Year Old', 'Tobermory 2008 10 Year Old North Star', 'Tobermory 2005 12 Year Old Fino Cask Finish', 'Tobermory 18 Year Old', 'Tobermory 20 Year Old Sherry Cask', 'Tobermory 42 Year Old']"
Single Malt,Tomatin,"['Tomatin 12 Year Old Small Bottle', 'Tomatin Cu Bocan Small Bottle', 'Tomatin Legacy Bourbon & Virgin Oak', 'Tomatin Cu Bocan', 'Tomatin Legacy', 'Tomatin 12 Year Old Bourbon & Sherry Casks', 'Tomatin 8 Year Old Bourbon & Sherry Casks Litre', 'Tomatin Metal', 'Tomatin Water', 'Tomatin 2007 Bourbon Cask Gordon & MacPhail Discovery', 'Tomatin Cu Bocan Bourbon Cask', 'Tomatin Cask Strength Edition', 'Tomatin 14 Year Old Tawny Port Finish', 'Tomatin 15 Year Old', 'Tomatin 15 Year Old Moscatel Cask', 'Tomatin 1996 Bot.2013 Connoisseurs Choice', 'Tomatin 18 Year Old Oloroso Sherry Finish', 'Tomatin 1997 Bot.2014 Connoisseurs Choice', 'Tomatin 2001 16 Year Old Connoisseurs Choice', 'Tomatin 1994 23 Year Old First Editions']"
Single Malt,Tomintoul,"['Tomintoul Tlath', 'Tomintoul 10 Year Old', 'Tomintoul Peaty Tang', 'Tomintoul 12 Year Old Sherry Cask', 'Tomintoul 16 Year Old', 'Tomintoul 14 Year Old', 'Tomintoul 15 Year Old Peaty Tang', 'Tomintoul 15 Year Old Portwood Finish', 'Tomintoul 21 Year Old 2017 Release', 'Tomintoul-Glenlivet 12 Year Old Bot.1990s', 'Tomintoul 8 Year Old Bot.1980s', 'Tomintoul -Glenlivet 8 Years Old Bot.1980s', ""Tomintoul 1966 Bot.2007 MacKillop's Choice"", 'Tomintoul 1972 Private Collection David Urquhart Bottling', 'Tomintoul 1968 Rare Old Gordon & MacPhail', 'Tomintoul 1967 50 Year Old 50th Anniversary Masam', 'Tomintoul 40 Year Old Quadruple Cask']"
Single Malt,Tormore,"['Tormore 1998 Bot.2015 Connoissuers Choice', 'Tormore 16 Year Old', 'Tormore 1996 Gordon & MacPhail TWE Exclusive', 'Tormore 10 Year Old Bot.1990s', 'Tormore 1988 29 Year Old Signatory', 'Tormore 1992 25 Year Old Valinch & Mallet', 'Tormore 1988 28 Year Old Daily Dram', 'Tormore 1992 25 Year Old Xtra Old Particular', 'Tormore 10 Year Old Bot.1980s']"
Single Malt,Tullibardine,"['Tullibardine Sovereign Bourbon Cask', 'Tullibardine 2007 10 Year Old Signatory', 'Tullibardine 228 Burgundy Finish', 'Tullibardine 225 Sauternes Finish', 'Tullibardine 500 Sherry Finish', 'Tullibardine 20 Year Old', 'Tullibardine 1993 24 Year Old Valinch & Mallet', 'Tullibardine 5 Year Old Bot.1980s', 'Tullibardine 5 Year Old Bot.1980s', 'Tullibardine 5 Year Old Bot.1980s', 'Tullibardine 1993 25 Year Old Xtra Old Particular', 'Tullibardine 1966 35 Year Old Old Malt Cask', 'Tullibardine 1966 Sherry Cask', 'Tullibardine 1952 60 Year Old Baccarat Crystal']"
Single Malt,Various,"['John Crabbie 8 Year Old', 'John Crabbie 12 Year Old', 'Cask Islay Small Batch', 'Cambeltown 2014 4 Year Old North Star', 'Speyside Star 12 Year Old North Star', 'Highland Star 11 Year Old North Star', 'Island Star 10 Year Old North Star', 'Islay Star 11 Year Old North Star', 'Classic Malts Gentle Collection 3x20cl', 'Classic Malts Coastal Collection 3x20cl', 'The Islay Boys Barelegs Single Malt', 'Classic Malts Strong Collection 3x20cl', 'Red Snake Redneck 30 Blackadder', 'Black Snake Vat 4 3rd Venom Blackadder', 'Cask Orkney 18 Year Old', 'Secret Distillery #1 9 Year Old Boutique-y Whisky Co', 'Breath of Speyside 2006 11 Year Old Adelphi Selection', 'South Shore Islay Malt 8 Year Old Valinch & Mallet', 'A Fine Christmas Malt 17 Year Old TWE Exclusive', ""'Secret' Speyside 2003 14 Year Old The Exclusive Malts""]"
Single Malt,Wolfburn ,"['Wolfburn Morven', 'Wolfburn Northland', 'Wolfburn Aurora', 'Wolfburn Langskip', 'Wolfburn Batch 128', 'Wolfburn Batch 270']"
Blended Malt,Adelphi,['The E&K 5 Year Old Malt Whisky Indian & Scotch Fusion']
Blended Malt,Angels' Nectar ,"[""Angels' Nectar Blended Malt 1st Edition"", ""Angels' Nectar Rich Peat Edition""]"
Blended Malt,Berry Bros & Rudd,"['Berry Bros & Rudd Speyside Blended Malt', 'Berry Bros & Rudd Islay Blended Malt', 'Berry Bros & Rudd Peated Cask Blended Malt', 'Berry Bros & Rudd Sherry Cask Blended Malt']"
Blended Malt,Big Peat,"['Big Peat Islay Blended Malt', 'Big Peat Blended Malt London Edition', 'Big Peat Blended Malt Christmas Edition 2015', 'Big Peat Blended Malt Xmas Edition 2018', 'Big Peat 1992 Gold Edition 25 Year Old']"
Blended Malt,Blue Hanger,['Blue Hanger 9th Release']
Blended Malt,Bowmore,['Bowmore Vatting - Distiller of the Year 8 Year Old']
Blended Malt,Chivas Regal ,['Chivas Regal Ultis Blended Malt']
Blended Malt,Cladach,['Cladach Blended Malt Special Releases 2018']
Blended Malt,Clan Denny,['Clan Denny Sweetly Spiced']
Blended Malt,Cockburn & Murray,['Cockburn & Murray 6 Year Old Pure Malt Bot.1970s']
Blended Malt,Collection Moon,"['Collection Moon 12 Year Old', 'Collection Moon 8 Year Old']"
Blended Malt,Collectivum,['Collectivum XXVIII Special Releases 2017']
Blended Malt,Compass Box,"['Compass Box Oak Cross', 'Compass Box The Peat Monster', 'Compass Box The Spice Tree', 'Compass Box The Story of the Spaniard', 'Compass Box Spice Tree Extravaganza', 'Compass Box Flaming Heart 2018 Edition', 'Compass Box Phenomenology', 'Compass Box Flaming Heart 2018 Edition Magnum', 'Compass Box Three\xa0Year Old Deluxe']"
Blended Malt,Copper Dog,['Copper Dog']
Blended Malt,Copper Pot,['Copper Pot 8 Year Old Bot.1980s']
Blended Malt,Elements of Islay,"['Peat Elements of Islay', 'Peat Elements of Islay Personalised Bottle', 'Peat – Full Proof Elements of Islay']"
Blended Malt,Epicurean,['The Epicurean Douglas Laing']
Blended Malt,Famous Grouse,['Naked Grouse Blended Malt']
Blended Malt,Glenborrodale,['Glenborrodale Batch 6 8 Year Old']
Blended Malt,Glencoe,"[""Macdonald's Glencoe 8 Year Old"", 'Glencoe 8 Year Old Bot.1970s']"
Blended Malt,Highland Harvest,"['Highland Harvest Organic Blended Malt 7 Casks Half Bottle', 'Highland Harvest 7 Casks Organic Blended Malt Whisky']"
Blended Malt,Highland Journey,['Highland Journey']
Blended Malt,Johnnie Walker ,"['Johnnie Walker Green Label 15 Year Old', 'John Walker & Sons Odyssey']"
Blended Malt,Monkey Shoulder,"['Monkey Shoulder', ""Monkey Shoulder 'Gorilla' plus Cradle Large Bottle""]"
Blended Malt,Mossburn ,"['Mossburn Speyside Blended Malt', 'Mossburn Island Blended Malt']"
Blended Malt,Old Perth,['Old Perth 1977 41 Year Old Carn Mor']
Blended Malt,Peat Chimney,"['Wemyss Peat Chimney 12 Year Old', 'Wemyss Peat Chimney Cask Strength Batch No 001']"
Blended Malt,Peat Reekers,['Peat Reekers Double Standard']
Blended Malt,Poit Dhubh,['Poit Dhubh 30th Anniversary']
Blended Malt,Rock Oyster,"['Rock Oyster', 'Rock Oyster Sherry Edition Douglas Laing', 'Rock Oyster Cask Strength No2 Editon', 'Rock Oyster 18 Year Old Douglas Laing']"
Blended Malt,Sandy Macdonald,['Sandy Macdonald Bot.1940s']
Blended Malt,Scallywag,"['Scallywag Speyside Blended Malt', 'Scallywag 10 Year Old']"
Blended Malt,Serendipity,['Serendipity 12 Year Old']
Blended Malt,Shackleton,['Shackleton Blended Malt']
Blended Malt,Shackleton's,"[""Shackleton's Journey Mackinlay's Rare Old Highland Malt""]"
Blended Malt,Sheep Dip,"['Sheep Dip Blended Malt', 'Sheep Dip Islay Blended Malt']"
Blended Malt,Spice King,"['Wemyss Spice King 12 Year Old', 'Wemyss Spice King Cask Strength Batch No 001']"
Blended Malt,Steel Bonnets,['Lakes Distillery Steel Bonnets']
Blended Malt,Strathconon,"['Strathconon 12 Year Old Bot.1970s', 'Strathconon 12 Year Old Bot.1970s', 'Strathconon 12 Year Old Bot.1970s']"
Blended Malt,The Exceptional ,['The Exceptional Malt Second Edition Sutcliffe & Son']
Blended Malt,The Feathery ,['The Feathery']
Blended Malt,The Gauldrons,['The Gauldrons']
Blended Malt,The Hive,"['Wemyss The Hive 12 Year Old', 'Wemyss The Hive Cask Strength Batch No 001']"
Blended Malt,The Islay Boys,['The Islay Boys Flatnöse Blended Malt']
Blended Malt,Timorous Beastie,"['Timorous Beastie Highland Blended Malt', 'Timorous Beastie 10 Year Old', 'Timorous Beastie 18 Year Old Douglas Laing']"
Blended Malt,Various,['Speyside Region 1973 43 Year Old Whisky Agency for TWE']
Blended Malt,Wemyss,"['Wemyss The Hive', 'Wemyss Spice King', 'Wemyss Peat Chimney', 'Wemyss Nectar Grove Family Collection', 'Wemyss Vanilla Burst Family Collection', 'Wemyss Treacle Chest Family Collection']"
Blended Malt,William Grant,['Ghosted Reserve 26 Year Old William Grant & Sons']
Blended Malt,Williamson,['Williamson 2011 #130 6 Year Old AD Rattray']
Grain,Caledonian,"['Caledonian 1987 31 Year Old Signatory', ""Caledonian 'The Cally' 1974 40 Year Old Special Releases"", 'Caledonian 1963 21 Year Old Bot.1984 Cadenhead']"
Grain,Cambus,"['Cambus 1991 25 Year Old Signatory', 'Cambus 24 Year Old Valinch & Mallet', 'Cambus 13 Year Old', 'Cambus 15 Year Old', 'Cambus 1982 35 Year Old Xtra Old Particular']"
Grain,Cameron Brig (Cameronbridge),"['Cameronbridge 24 Year Old That Boutique-y Whisky Company', 'Cameronbridge 25 Year Old 300 years at the Brig']"
Grain,Carsebridge,"['Carsebridge 1982 34 Year Old Signatory', 'Carsebridge 1974 43 Year Old Whisky Agency', 'Carsebridge 1982 30 Year Old Artist #7 LMDW']"
Grain,Compass Box,"['Compass Box Hedonism', 'Compass Box Hedonism The Muse']"
Grain,Dumbarton ,"['Dumbarton 1986 32 Year Old Xtra Old Particular', 'Dumbarton 1964 53 Year Old Sovereign']"
Grain,Garnheath,"['Garnheath Grain 1973 24 Year Old Signatory', 'Garnheath 1972 27 Year Old Signatory']"
Grain,Girvan,"['Girvan Patent Still No.4 Apps', 'Girvan Patent Still Proof Strength', 'Girvan 1991 25 Year Old Sovereign', 'Girvan 1988 30 Year Old Old Particular', 'Girvan 25 Year Old Valinch & Mallet', 'Girvan Patent Still 25 Year Old', 'Girvan Patent Still 30 Year Old', 'Girvan 1965 52 Year Old Sovereign', 'Girvan 1968 47 Year Old ""Velier 68"" Velier 70th']"
Grain,Haig Club ,"['Haig Club Half Bottle', 'Haig Club']"
Grain,Invergordon,"['Invergordon 1988 26 Year Old Jack Wiebers Fighting Fish', 'Invergordon 1973 44 Year Old Daily Dram', 'Invergordon 44 Year Old The Future', 'Invergordon 1972 Jack Wiebers', 'Invergordon 1972 45 Year Old Jack Wiebers Fighting Fish', 'Invergordon 1965 52 Year Old Xtra Old Particular']"
Grain,Loch Lomond,['Loch Lomond Single Grain']
Grain,North British,['North British 2007 10 Year Old Signatory']
Grain,North British Distillery,"['North British 1988 30 Year Old Xtra Old Particular', 'North British 1960 58 Year Old The Incorporation Edition']"
Grain,North of Scotland,['North of Scotland 50 Year Old']
Grain,Port Dundas,"['Port Dundas 1995 22 Year Old Signatory', 'Port Dundas 1978 40 Year Old Xtra Old Particular', 'Port Dundas 1964 52 Year Old Special Releases 2017']"
Grain,Strathclyde,['None']
Grain,Strathcolm,['Strathcolm Extra Special']
Grain,The Exceptional,['The Exceptional Grain Third Edition Sutcliffe & Son']
Grain,Tweeddale,['The Tweeddale Grain of Truth']
Blended,Alex Ferguson,['Alex Ferguson Bot.1930s']
Blended,Antiquary,"['Antiquary', 'Antiquary 12 Year Old', 'Antiquary 21 Year Old Gold Box', 'Antiquary 35 Year Old']"
Blended,Auld Alliance,"['Auld Alliance Whisky Armagnac Blend', 'Auld Alliance Whisky Armagnac Blend']"
Blended,Ballantines,"[""Ballantine's Finest Felipe Pantone Limited Edition"", 'Ballantines 12 Year Old Bot.1980s']"
Blended,Bank Note,['Bank Note 5 Year Old']
Blended,Bells,['Bells Old Brown Decanter LVS 1989 Banquet']
Blended,Berry Bros & Rudd,['Berry Bros Blended Scotch Bot.1950s']
Blended,Black & White,"['Black & White Half Bottle', 'Black & White', 'Black & White Bot.1970s', 'Black & White Bot.1960s Spring Cap', 'Black & White Bot.1960s Spring Cap', 'Black & White Bot.1950s Spring Cap', 'Black & White Bot.1960s', 'Black & White Spring Cap Bot.1950s', 'Black & White Bot.1950s', 'Black & White Bot.1940s Spring Cap', 'Black & White Bot.1930s Late King George V', 'Black & White Bot.1940s Spring Cap', 'Black & White Bot.1930s', 'Black & White 8 Year Old Bot.1930s', 'Black & White Bot.1930s', 'Black & White Bot.1930s Spring Cap', 'Black & White House of Commons Bot.1900s', 'Black & White Bot.1920s HM THE KING']"
Blended,Black Bottle,"['Black Bottle', 'Black Bottle Bot.1960s', 'Black Bottle Bot.1960s', 'Black Bottle Bot.1960s']"
Blended,Buchanan's,"[""Buchanan's Deluxe 12 Year Old Litre"", 'The Buchanan Blend 8 Year Old Bot.1980s', ""Buchanan's Red Seal"", ""Buchanan's Deluxe Bot.1950s Spring Cap"", 'Buchanan Liqueur Scotch Whisky Bot.1940s', ""Buchanan's Liqueur Bot.1930s""]"
Blended,Bulloch Lade,"['Bulloch Lade Gold Label Bot.1980s Half Bottle', ""Bulloch Lade's Gold Label Bot.1950s Spring Cap"", ""Bulloch Lade's Bot.1950s Spring Cap""]"
Blended,Cadenhead,"[""Cadenhead's 12 Year Old Blend""]"
Blended,Carlton,['Carlton 4 Year Old Bot.1980s Large Bottle']
Blended,Catto's,"[""Catto's 12 Year Old Gold Label Bot.1940s"", ""Catto's Gold Label 1953 New Zealand Royal Visit""]"
Blended,Chivas,"['Chivas Revolve', 'Chivas Oldest Magnum']"
Blended,Chivas Regal ,"['Chivas Regal 12 Year Old', 'Chivas Regal 15 Year Old XV', 'Chivas Regal Mizunara', 'Chivas Regal 18 Year Old', 'Chivas Regal 18 Year Old Pininfarina Level 1', 'Chivas Regal 12 Year Old Bot.1980s', 'Chivas Regal 12 Year Old Bot.1970s', 'Chivas Regal 12 Year Old Bot.1970s', 'Chivas Regal 12 Year Old Bot.1980s', 'Chivas Regal 12 Year Old Bot.1970s', 'Chivas Regal 12 Year Old Bot.1970s', 'Chivas Regal 12 Year Old Bot.1970s', 'Chivas Regal 12 Year Old Bot.1970s', 'Chivas Regal 12 Year Old Large Bottle', 'Chivas Regal The Icon', 'Chivas Regal 25 Year Old Bot.1930s George V']"
Blended,Churtons,['Churtons V.O.B.G. Bot.1970s']
Blended,Cluny ,['Cluny Blended Whisky Bot.1970s']
Blended,Compass Box ,"[""Compass Box Great King Street Artist's Blend Half Litre"", ""Compass Box Great King Street Artist's Blend"", ""Compass Box Delilah's XXV Blended Scotch Whisky"", 'Artist #7 Compass Box Lino di Vinci Velier 70th LMDW', 'Compass Box Double Single 2017 Release']"
Blended,Craig Athol,['Craig Athol Bot.1980s']
Blended,Cutty Sark,"['Cutty Sark', 'Cutty Sark Storm', 'Cutty Sark Prohibition', 'Cutty Sark Bot.1970s']"
Blended,Dan Macfarlane's,"[""Dan Macfarlane's Royal V.O.V 10 Year Old Bot.1940s""]"
Blended,Dawson's,['Peter Dawson Special Bot.1980s Half Bottle']
Blended,Dew of Ben Nevis,['Dew of Ben Nevis 12 Year Old']
Blended,Dewars ,['Dewars Signature 25 Year Old']
Blended,Dimple,"['Dimple 15 Year Old Litre', 'Dimple Bot.1960s Half Bottle', 'Dimple Haig Bot.1960s Spring Cap', 'Dimple Bot.1950s Spring Cap', 'Dimple Bot.1950s Spring Cap', 'Dimple ""Royal Decanter"" (Pewter)', 'Dimple 12 Year Old Botswana 20 (1966-1986)', 'Dimple 12 Year Old Hawaii Bot 1980s', 'Dimple 15 Years Old Mafeking Centenary (1885-1985)', 'Dimple 12 Year Old 350th Anniversary']"
Blended,EH 10,['EH 10 10 Year Old']
Blended,Famous Grouse,"['Famous Grouse Small Bottle', 'Famous Grouse', 'Famous Grouse Smoky Black', 'Famous Grouse 16 Year Old', 'Famous Grouse Bar Bottle', 'Famous Grouse Bot.1970s', 'Famous Grouse 6 Year Old Bot.1970s']"
Blended,Findlater's,"[""Findlater's V.O. 10 Years Old Bot.1940s""]"
Blended,Fleet Street,['Fleet Street Bot.1950s']
Blended,Georgetown,"[""Georgetown 1770 Bot.1970s John MacLean's Replica""]"
Blended,Gilbey's,"[""Gilbey's Spey Royal Tall Bot.1970s"", ""Gilbey's Spey Royal Bot.1970s"", ""Gilbey's Spey Royal Bot.1970s"", ""Gilbey's 8 Year Old Bot.1950s"", ""Gilbey's Spey Royal Bot.1940s"", ""Gilbey's Spey Royal Bot.1950s"", ""Gilbey's Spey Royal Bot.1940s""]"
Blended,Glamis Castle,['Glamis Castle Reserve 12 Year Old Bot.1980s']
Blended,Glen Grigor ,['Glen Grigor Bot.1940s']
Blended,Glenrosa,['Glenrosa Bot.1940s']
Blended,Grant's,"[""Grant's Family Reserve"", ""Grant's Ale Cask Finish"", ""Grant's Standfast Bot.1970s"", ""Grant's Standfast Bot.1980s"", ""Grant's Standfast Bot.1970s"", ""Grant's Stand Fast Bot.1970s"", ""Grant's Castle Grant 21 Year Old Bot.1980s""]"
Blended,Great King Street,['Compass Box Great King Street Glasgow Blend']
Blended,Haig ,"['Haig Gold Label Large Bottle', 'Haig Gold Label Bot.1970s', 'Haig Gold Label Bot.1970s', 'Haig Gold Label Bot.1980s', 'Haig Gold Label Bot.1950s Spring Cap', ""Haig's Gold Label Bot.1950s Spring Cap"", ""Haig's Dimple Bot.1950s Spring Cap"", ""Haig's Gold Label Bot.1950s Spring Cap"", 'Haig & Haig 12 Year Old Bot.1944 Spring Cap', ""Haig's Gold Label Bot.1940s Spring Cap"", ""Haig's Gold Label Bot.1940s Spring Cap"", 'Haig & Haig Five Star 8 Years Old Bot.1950s', ""Haig's Gold Label Cork Stopper Bot.1930s (Late George V)""]"
Blended,Hankey Bannister,"['Hankey Bannister Heritage Blend', 'Hankey Bannister 12 Year Old Regency', 'Hankey Bannister 40 Year Old Bot.2013']"
Blended,Harrods,['Harrods 21 Year Old Crystal Decanter Bot.1980s']
Blended,Harvey's,['None']
Blended,Hazelwood,"['House of Hazelwood 25 Year Old', 'Hazelwood Centennial Reserve 20 Year Old', 'Hazelwood Janet Sheed Roberts 110th Birthday Edition']"
Blended,Heather Dew ,['Heather Dew Bot.1940s']
Blended,Highland Nectar,['Highland Nectar Bot.1960s']
Blended,Highland Queen,"['Highland Queen Bot.1980s', ""Highland Queen 'Grand 15' 15 Year Old Bot.1950s""]"
Blended,Howard MacLaren,['Howard MacLaren Special Bot.1960s']
Blended,Huntly,['Huntly Blend Bot.1940s']
Blended,Huntly Royal,['Huntly Royal Blended Whisky Bot.1940s']
Blended,Inver House,['Inver House Green Plaid Bot. 1980s']
Blended,Islay Mist,"['Islay Mist Peated Reserve', 'Islay Mist 12 Year Old', 'Islay Mist 17 Year Old']"
Blended,Isle of Skye,['Isle of Skye 50 Year Old']
Blended,J&B,"['J & B Rare', 'J & B Jet 12 Year Old']"
Blended,James Martin,['James Martin 20 Year Old Bot.1960s']
Blended,Johnnie Walker,"['Johnnie Walker Black 12 Year Old Half Bottle', 'Johnnie Walker Red Label', 'Johnnie Walker Black Label 12 Year Old', 'Johnnie Walker Sweet Peat', 'Johnnie Walker Double Black', 'Johnnie Walker White Walker Game of Thrones Whisky', 'Johnnie Walker Gold Label Reserve', 'Johnnie Walker Gold Label Reserve Bullion Bottle', 'Johnnie Walker Swing', 'Johnnie Walker Blue Label Small Bottle', 'Johnnie Walker 18 Year Old', 'Johnnie Walker Swing Superior', 'Johnnie Walker Collection', ""Johnnie Walker Explorer's Club Collection 3x20cl"", 'Johnnie Walker Blue Label', 'Johnnie Walker Red Label Bot.1970s', 'Johnnie Walker Blue Winter Edition', 'Johnnie Walker Black Label Bot.1980s', 'Johnnie Walker 12 Year Old Black Label Bot.1980s', 'Johnnie Walker Blue Label Ryder Cup 2014']"
Blended,King George IV,"['King George IV Bot.1960s Spring Cap', 'King George IV Spring Cap Bot.1950s', 'King George IV Bot.1950s', 'King George IV Bot.1940s']"
Blended,Last Drop,"['The Last Drop 48 Year Old + Miniature', 'Last Drop Distillers 1971 Blended Scotch']"
Blended,Long John,"['Long John Special Reserve Bot.1960s', 'Long John 8 Year Old Bot.1970s', 'Long John Special Reserve Bot.1970s', 'Long John Special Reserve Bot.1940s']"
Blended,Lord Elcho,"['Lord Elcho Blended Whisky Wemyss', 'Lord Elcho 15 Year Old Wemyss']"
Blended,Mackinlay's,"['Mackinlay 5 Year Old', ""Mackinlay's 12 Year Old Legacy Bot.1980s"", ""Mackinlay's Legacy 12 Year Old Bot.1960s""]"
Blended,MacNaMara,['MacNaMara Gaelic']
Blended,Masam,['The No-Age Blended Scotch Cuvee 2016 Masam']
Blended,McCallum's,"[""McCallum's Perfection Bot.1980s Half Bottle""]"
Blended,Mitchells & Butlers,['Mitchells & Butlers Very Old Bot.1950s']
Blended,Nevis Dew,['Nevis Dew Blue Label']
Blended,Nomad,['Nomad Outland Whisky']
Blended,North British,['North British Centenary Blend']
Blended,Old Mull,['Old Mull Bot.1970s']
Blended,Old Parr,"['Old Parr 12 Year Old Litre', 'Old Parr Superior', 'Grand Old Parr Bot.1970s', 'Grand Old Parr Bot.1970s', 'Old Parr Bot.1920s']"
Blended,Old Ship,['Old Ship Bot.1930s']
Blended,Old Smuggler,"['Old Smuggler', 'Old Smuggler Ceramic Bot. 1970s']"
Blended,Old St Andrews,['Clubhouse Blended Whisky']
Blended,Orbital ,['Orbital 8 Year Old World Blend Sherry Cask Whisky Magazine']
Blended,Pig's Nose,"[""Pig's Nose 5 Year Old""]"
Blended,Premiers,['Premiers 15 Year Old Set Of 9']
Blended,Pure Scot ,['Pure Scot Blended Whisky']
Blended,Putachieside,['Putachieside Liquer Whisky Bot.1970s']
Blended,Queen Anne,"['Queen Anne Bot.1980s', 'Queen Anne Bot.1950s']"
Blended,Real Mackenzie,['The Real Mackenzie Whisky Litre']
Blended,Robbie Burns,['Robbie Burns Bot.1970s']
Blended,Robert Burns (Arran),['Robert Burns Blend Arran']
Blended,Royal Salute,"['Royal Salute 21 Year Old Blue Wade Decanter', 'Royal Salute 21 Year Old Red Wade Decanter', 'Royal Salute 21 Year Old Bot.1970s Brown Spode Decanter', 'Royal Salute LXX 21 Year Old', 'Royal Salute LXX 21 Year Old', 'Royal Salute Directors Celebration Reserve', 'Royal Salute 28 Year Old Kew Palace Edition', 'Royal Salute 30 Year Old With Flask', 'Royal Salute 38 Year Old Stone of Destiny', 'Royal Salute 25 Year Old Royal Wedding Crown Prince of Japan']"
Blended,Sample Room,"[""Sample Room Reserve '106'""]"
Blended,Sanderson's,"[""Sanderson's Gold""]"
Blended,Sandy Macdonald,['Sandy Macdonald Bot.1950s']
Blended,Scots Bard,['Scots Bard']
Blended,Seagram,['Seagram 25 Year Old Club with 2 glasses']
Blended,Something Special,"['Something Special Legacy Litre', 'Something Special Bot.1950s']"
Blended,Spica,['None']
Blended,Stewart's,"[""Stewart's Cream of the Barley 21 Year Old Bot.1940s""]"
Blended,Teacher's,"[""Teacher's Highland Cream Bot.1980s"", ""Teacher's Bot.1970s"", ""Teacher's Highland Cream Bot.1980s Imperial Quart""]"
Blended,The Gordon Highlander ,['Gordon Highlander Royal Ancient']
Blended,The Islay Boys,['The Islay Boys Flatnöse Blended Scotch']
Blended,The Junior,['The Junior Scotch Whisky Bot.1980s']
Blended,The Woodsman ,['The Woodsman Blended Whisky']
Blended,Uam Var,['Uam Var Famous Scotch Whisky Bot.1960s']
Blended,Vat 69,"['Vat 69', 'Vat 69 Bot.1970s']"
Blended,White Horse ,"['White Horse', 'White Horse Gold Edition 1890 Litre', 'White Horse Magnum', 'White Horse Bot.1980s', 'White Horse Bot.1950s Spring Cap', 'White Horse 8 Year Old Bot.1930s']"
Blended,Whyte & Mackay,"['Whyte & Mackay Triple Matured', 'Whyte & Mackay 13 Year Old', 'Whyte & Mackay 40 Year Old']"
Blended,William Grant,['William Grant 25 Year Old Tasglann 70ans Velier']
Blended,Wright & Greigs,['Wright & Greigs Blended Whisky Large Bottle']
Blended,Ye Olde Drury,['Ye Olde Drury Bot.1960s']
Irish,A Drop of the Irish,"['A Drop of the Irish 1989 26 Year Old Blackadder Statement No.19', 'A Drop of the Irish 1989 26 Year Old Blackadder Statement 20']"
Irish,Bushmills,"['Bushmills Original', 'Bushmills Black Bush', 'Bushmills 10 Year Old', 'Bushmills 16 Year Old Three Wood', 'Bushmills 21 Year Old Madeira Finish', 'Old Bushmills 9 Year Old Bot.1960s', 'SMWS 51.3 1978 Bot.1989']"
Irish,Clontarf,"['Clontarf Single Malt', 'Clontarf Classic Blend Litre']"
Irish,Connemara,"['Connemara Peated Irish Whiskey', 'Connemara Distillers Edition', 'Connemara 12 Year Old Peated Irish Whiskey']"
Irish,Dingle,['Dingle Triple Distilled Batch 3']
Irish,Dublin Liberties,"['Dublin Liberties Oak Devil', 'Dublin Liberties Copper Alley 10 Year Old']"
Irish,Dubliner ,"['Dubliner Irish Whisky Bourbon Cask', 'Dubliner 10 Year Old']"
